2025-08-05 19:48:40 | OPTIONS | /auth/register | 200 | 0.0002 | -
2025-08-05 19:48:40 | POST | /auth/register | 201 | 0.3461 | -
2025-08-05 19:48:54 | OPTIONS | /auth/login | 200 | 0.0001 | -
2025-08-05 19:48:55 | POST | /auth/login | 200 | 0.2982 | -
2025-08-05 19:48:55 | OPTIONS | /task/tasks | 200 | 0.0001 | -
2025-08-05 19:48:55 | GET | /task/tasks | 200 | 0.0096 | -
2025-08-05 19:49:52 | OPTIONS | /auth/login | 200 | 0.0002 | -
2025-08-05 19:49:53 | POST | /auth/login | 200 | 0.4241 | -
2025-08-05 19:49:53 | OPTIONS | /task/tasks | 200 | 0.0002 | -
2025-08-05 19:49:53 | GET | /task/tasks | 200 | 0.006 | -
